15	10	E	-6219387.628994513	122
emissionprobs	9	1	H3K27me3	0	0.999884190401072
emissionprobs	9	1	H3K27me3	1	1.1580959892796601E-4
emissionprobs	9	2	H3K36me3	0	0.989051442678884
emissionprobs	9	2	H3K36me3	1	0.010948557321115894
emissionprobs	9	3	H3K4me1	0	0.02146610365112647
emissionprobs	9	3	H3K4me1	1	0.9785338963488736
emissionprobs	9	4	H3K4me2	0	0.0028137975855151826
emissionprobs	9	4	H3K4me2	1	0.9971862024144849
emissionprobs	9	5	H3K4me3	0	0.5916065162025106
emissionprobs	9	5	H3K4me3	1	0.40839348379748946
emissionprobs	9	6	H3K79me2	0	0.9668589787234964
emissionprobs	9	6	H3K79me2	1	0.033141021276503715
emissionprobs	9	7	H3K9ac	0	0.10436024331576867
emissionprobs	9	7	H3K9ac	1	0.8956397566842312
emissionprobs	9	8	H3K9me1	0	0.9918205696223883
emissionprobs	9	8	H3K9me1	1	0.008179430377611608
emissionprobs	9	9	H4K20me1	0	0.9981117316621217
emissionprobs	9	9	H4K20me1	1	0.0018882683378782033
emissionprobs	10	0	H3K27ac	0	0.07580908153791018
emissionprobs	10	0	H3K27ac	1	0.9241909184620899
emissionprobs	10	1	H3K27me3	0	0.999872128092105
emissionprobs	10	1	H3K27me3	1	1.278719078950566E-4
emissionprobs	10	2	H3K36me3	0	0.9595085941893815
emissionprobs	10	2	H3K36me3	1	0.04049140581061848
emissionprobs	10	3	H3K4me1	0	0.07131370286743643
emissionprobs	10	3	H3K4me1	1	0.9286862971325636
emissionprobs	10	4	H3K4me2	0	0.5435756842434954
emissionprobs	10	4	H3K4me2	1	0.4564243157565045
emissionprobs	10	5	H3K4me3	0	0.9985351807372398
emissionprobs	10	5	H3K4me3	1	0.001464819262760123
emissionprobs	10	6	H3K79me2	0	0.9545087070228679
emissionprobs	10	6	H3K79me2	1	0.04549129297713211
emissionprobs	10	7	H3K9ac	0	0.7244871040639663
emissionprobs	10	7	H3K9ac	1	0.2755128959360336
emissionprobs	10	8	H3K9me1	0	0.9936452382958813
emissionprobs	10	8	H3K9me1	1	0.0063547617041186995
emissionprobs	10	9	H4K20me1	0	0.9989853701730804
emissionprobs	10	9	H4K20me1	1	0.0010146298269196035
emissionprobs	11	0	H3K27ac	0	0.6573732120984057
emissionprobs	11	0	H3K27ac	1	0.34262678790159434
emissionprobs	11	1	H3K27me3	0	0.9986138382453875
emissionprobs	11	1	H3K27me3	1	0.0013861617546124586
emissionprobs	11	2	H3K36me3	0	0.9936072256918071
emissionprobs	11	2	H3K36me3	1	0.006392774308192922
emissionprobs	11	3	H3K4me1	0	0.023524824289250044
emissionprobs	11	3	H3K4me1	1	0.9764751757107499
emissionprobs	11	4	H3K4me2	0	0.038468289101808696
emissionprobs	11	4	H3K4me2	1	0.9615317108981913
emissionprobs	11	5	H3K4me3	0	0.9232265044869803
emissionprobs	11	5	H3K4me3	1	0.07677349551301971
emissionprobs	11	6	H3K79me2	0	0.991390862398702
emissionprobs	11	6	H3K79me2	1	0.008609137601298035
emissionprobs	11	7	H3K9ac	0	0.9231436461718323
emissionprobs	11	7	H3K9ac	1	0.07685635382816773
emissionprobs	11	8	H3K9me1	0	0.9879363388330943
emissionprobs	11	8	H3K9me1	1	0.012063661166905713
emissionprobs	11	9	H4K20me1	0	0.9934200091025075
emissionprobs	11	9	H4K20me1	1	0.006579990897492443
emissionprobs	12	0	H3K27ac	0	0.9116187917103128
emissionprobs	12	0	H3K27ac	1	0.0883812082896873
emissionprobs	12	1	H3K27me3	0	0.998391121140685
emissionprobs	12	1	H3K27me3	1	0.0016088788593150599
emissionprobs	12	2	H3K36me3	0	0.9856492264305885
emissionprobs	12	2	H3K36me3	1	0.014350773569411496
emissionprobs	12	3	H3K4me1	0	0.33372719744158436
emissionprobs	12	3	H3K4me1	1	0.6662728025584156
emissionprobs	12	4	H3K4me2	0	0.9339567660109155
emissionprobs	12	4	H3K4me2	1	0.0660432339890845
emissionprobs	12	5	H3K4me3	0	0.9999160567996082
emissionprobs	12	5	H3K4me3	1	8.394320039181553E-5
emissionprobs	12	6	H3K79me2	0	0.9901312870346228
emissionprobs	12	6	H3K79me2	1	0.009868712965377188
emissionprobs	12	7	H3K9ac	0	0.9902726900075384
emissionprobs	12	7	H3K9ac	1	0.009727309992461627
emissionprobs	12	8	H3K9me1	0	0.9937968689994456
emissionprobs	12	8	H3K9me1	1	0.006203131000554331
emissionprobs	12	9	H4K20me1	0	0.9974483142133181
emissionprobs	12	9	H4K20me1	1	0.0025516857866819263
emissionprobs	13	0	H3K27ac	0	0.9812484080293614
emissionprobs	13	0	H3K27ac	1	0.018751591970638647
emissionprobs	13	1	H3K27me3	0	0.8808040191073064
emissionprobs	13	1	H3K27me3	1	0.11919598089269352
emissionprobs	13	2	H3K36me3	0	0.9956232467481689
emissionprobs	13	2	H3K36me3	1	0.004376753251831019
emissionprobs	13	3	H3K4me1	0	0.7346856641670039
emissionprobs	13	3	H3K4me1	1	0.265314335832996
emissionprobs	13	4	H3K4me2	0	0.42025596736109005
emissionprobs	13	4	H3K4me2	1	0.5797440326389101
emissionprobs	13	5	H3K4me3	0	0.5597749085371322
emissionprobs	13	5	H3K4me3	1	0.440225091462868
emissionprobs	13	6	H3K79me2	0	0.962008957431764
emissionprobs	13	6	H3K79me2	1	0.03799104256823605
emissionprobs	13	7	H3K9ac	0	0.9001818121728841
emissionprobs	13	7	H3K9ac	1	0.09981818782711585
emissionprobs	13	8	H3K9me1	0	0.9969305408516342
emissionprobs	13	8	H3K9me1	1	0.003069459148365832
emissionprobs	13	9	H4K20me1	0	0.9965207149569171
emissionprobs	13	9	H4K20me1	1	0.003479285043083012
emissionprobs	14	0	H3K27ac	0	0.3699411221510133
emissionprobs	14	0	H3K27ac	1	0.6300588778489866
emissionprobs	14	1	H3K27me3	0	0.9948883404526888
emissionprobs	14	1	H3K27me3	1	0.00511165954731116
emissionprobs	14	2	H3K36me3	0	0.9994997407711109
emissionprobs	14	2	H3K36me3	1	5.00259228889145E-4
emissionprobs	14	3	H3K4me1	0	0.6873011191432437
emissionprobs	14	3	H3K4me1	1	0.3126988808567564
emissionprobs	14	4	H3K4me2	0	0.1749128139515981
emissionprobs	14	4	H3K4me2	1	0.8250871860484019
emissionprobs	14	5	H3K4me3	0	0.020337179944727644
emissionprobs	14	5	H3K4me3	1	0.9796628200552724
emissionprobs	14	6	H3K79me2	0	0.9590536458844694
emissionprobs	14	6	H3K79me2	1	0.04094635411553057
emissionprobs	14	7	H3K9ac	0	0.05506295910420972
emissionprobs	14	7	H3K9ac	1	0.9449370408957902
emissionprobs	14	8	H3K9me1	0	0.9992127794823596
emissionprobs	14	8	H3K9me1	1	7.87220517640376E-4
emissionprobs	14	9	H4K20me1	0	0.9998883152268749
emissionprobs	14	9	H4K20me1	1	1.1168477312515455E-4
emissionprobs	15	0	H3K27ac	0	0.22685816732106498
emissionprobs	15	0	H3K27ac	1	0.7731418326789351
emissionprobs	15	1	H3K27me3	0	0.9944357905124651
emissionprobs	15	1	H3K27me3	1	0.0055642094875348845
emissionprobs	15	2	H3K36me3	0	0.9846515402237691
emissionprobs	15	2	H3K36me3	1	0.015348459776230804
emissionprobs	15	3	H3K4me1	0	0.964020974545688
emissionprobs	15	3	H3K4me1	1	0.035979025454311954
emissionprobs	15	4	H3K4me2	0	0.26165068269730607
emissionprobs	15	4	H3K4me2	1	0.7383493173026939
emissionprobs	15	5	H3K4me3	0	0.008704617731024544
emissionprobs	15	5	H3K4me3	1	0.9912953822689755
emissionprobs	15	6	H3K79me2	0	0.053265067976281055
emissionprobs	15	6	H3K79me2	1	0.946734932023719
emissionprobs	15	7	H3K9ac	0	0.0375387801390076
emissionprobs	15	7	H3K9ac	1	0.9624612198609923
emissionprobs	15	8	H3K9me1	0	0.99990870962876
emissionprobs	15	8	H3K9me1	1	9.129037124004683E-5
emissionprobs	15	9	H4K20me1	0	0.9851483920046951
emissionprobs	15	9	H4K20me1	1	0.01485160799530497
